season,team,season_start_year,season_idx,split,points,goal_diff,matches,goals_for,goals_against,points_per_match,gd_per_match,xg_league,xga_league,xgd_league,xgd_per_match,xg_squad,xg_per_match_squad
2020-21,Aston Villa,2020,3,train,55,9,38,55,46,1.4473684210526316,0.23684210526315788,52.5,51.1,1.3999999999999986,0.03684210526315786,52.5,1.381578947368421
2020-21,Brighton,2020,3,train,41,-6,38,40,46,1.0789473684210527,-0.15789473684210525,50.9,35.3,15.600000000000001,0.41052631578947374,50.9,1.3394736842105264
2020-21,Burnley,2020,3,train,39,-22,38,33,55,1.0263157894736843,-0.5789473684210527,39.3,54.7,-15.400000000000006,-0.405263157894737,39.3,1.0342105263157895
2020-21,Chelsea,2020,3,train,67,22,38,58,36,1.763157894736842,0.5789473684210527,62.4,30.3,32.099999999999994,0.844736842105263,62.4,1.6421052631578947
2020-21,Crystal Palace,2020,3,train,44,-25,38,41,66,1.1578947368421053,-0.6578947368421053,34.1,58.2,-24.1,-0.6342105263157896,34.1,0.8973684210526316
2020-21,Everton,2020,3,train,59,-1,38,47,48,1.5526315789473684,-0.02631578947368421,45.7,50.1,-4.399999999999999,-0.11578947368421048,45.7,1.2026315789473685
2020-21,Fulham,2020,3,train,28,-26,38,27,53,0.7368421052631579,-0.6842105263157895,40.5,52.6,-12.100000000000001,-0.318421052631579,40.5,1.0657894736842106
2020-21,Leeds United,2020,3,train,59,8,38,62,54,1.5526315789473684,0.21052631578947367,55.6,57.9,-2.299999999999997,-0.06052631578947361,55.6,1.4631578947368422
2020-21,Leicester City,2020,3,train,66,18,38,68,50,1.736842105263158,0.47368421052631576,55.8,46.0,9.799999999999997,0.2578947368421052,55.8,1.4684210526315788
2020-21,Liverpool,2020,3,train,69,26,38,68,42,1.8157894736842106,0.6842105263157895,67.5,43.0,24.5,0.6447368421052632,67.5,1.7763157894736843
2020-21,Manchester City,2020,3,train,86,51,38,83,32,2.263157894736842,1.3421052631578947,68.2,30.2,38.0,1.0,68.2,1.7947368421052632
2020-21,Manchester Utd,2020,3,train,74,29,38,73,44,1.9473684210526316,0.7631578947368421,60.1,41.4,18.700000000000003,0.4921052631578948,60.1,1.5815789473684212
2020-21,Newcastle Utd,2020,3,train,45,-16,38,46,62,1.1842105263157894,-0.42105263157894735,43.4,58.3,-14.899999999999999,-0.3921052631578947,43.4,1.1421052631578947
2020-21,Sheffield Utd,2020,3,train,23,-43,38,20,63,0.6052631578947368,-1.131578947368421,32.6,62.2,-29.6,-0.7789473684210527,32.6,0.8578947368421053
2020-21,Southampton,2020,3,train,43,-21,38,47,68,1.131578947368421,-0.5526315789473685,41.2,53.1,-11.899999999999999,-0.3131578947368421,41.2,1.0842105263157895
2020-21,Tottenham,2020,3,train,62,23,38,68,45,1.631578947368421,0.6052631578947368,53.1,49.1,4.0,0.10526315789473684,53.1,1.3973684210526316
2020-21,West Brom,2020,3,train,26,-41,38,35,76,0.6842105263157895,-1.0789473684210527,35.8,67.9,-32.10000000000001,-0.8447368421052633,35.8,0.9421052631578947
2020-21,West Ham,2020,3,train,65,15,38,62,47,1.7105263157894737,0.39473684210526316,55.4,48.7,6.699999999999996,0.1763157894736841,55.4,1.4578947368421051
2020-21,Wolves,2020,3,train,45,-16,38,36,52,1.1842105263157894,-0.42105263157894735,36.5,49.5,-13.0,-0.34210526315789475,36.5,0.9605263157894737
2021-22,Arsenal,2021,4,train,69,13,38,61,48,1.8157894736842106,0.34210526315789475,60.5,45.7,14.799999999999997,0.38947368421052625,60.5,1.5921052631578947
2021-22,Aston Villa,2021,4,train,45,-2,38,52,54,1.1842105263157894,-0.05263157894736842,44.0,49.0,-5.0,-0.13157894736842105,44.0,1.1578947368421053
2021-22,Brentford,2021,4,train,46,-8,38,48,56,1.2105263157894737,-0.21052631578947367,45.8,48.5,-2.700000000000003,-0.07105263157894744,45.8,1.2052631578947368
2021-22,Brighton,2021,4,train,51,-2,38,42,44,1.3421052631578947,-0.05263157894736842,46.2,42.9,3.3000000000000043,0.08684210526315801,46.2,1.2157894736842105
2021-22,Burnley,2021,4,train,35,-19,38,34,53,0.9210526315789473,-0.5,39.7,57.1,-17.4,-0.45789473684210524,39.7,1.0447368421052632
2021-22,Chelsea,2021,4,train,74,43,38,76,33,1.9473684210526316,1.131578947368421,63.4,33.2,30.199999999999996,0.7947368421052631,63.4,1.6684210526315788
2021-22,Crystal Palace,2021,4,train,48,4,38,50,46,1.263157894736842,0.10526315789473684,46.4,40.7,5.699999999999996,0.14999999999999988,46.4,1.2210526315789474
2021-22,Everton,2021,4,train,39,-23,38,43,66,1.0263157894736843,-0.6052631578947368,41.2,55.4,-14.199999999999996,-0.3736842105263157,41.2,1.0842105263157895
2021-22,Leeds United,2021,4,train,38,-37,38,42,79,1.0,-0.9736842105263158,44.4,67.8,-23.4,-0.6157894736842104,44.4,1.1684210526315788
2021-22,Leicester City,2021,4,train,52,3,38,62,59,1.368421052631579,0.07894736842105263,47.8,59.3,-11.5,-0.3026315789473684,47.8,1.2578947368421052
2021-22,Liverpool,2021,4,train,92,68,38,94,26,2.4210526315789473,1.7894736842105263,88.7,33.8,54.900000000000006,1.4447368421052633,88.7,2.3342105263157897
2021-22,Manchester City,2021,4,train,93,73,38,99,26,2.4473684210526314,1.9210526315789473,88.7,24.6,64.1,1.6868421052631577,88.7,2.3342105263157897
2021-22,Manchester Utd,2021,4,train,58,0,38,57,57,1.5263157894736843,0.0,55.8,53.0,2.799999999999997,0.07368421052631571,55.8,1.4684210526315788
2021-22,Newcastle Utd,2021,4,train,49,-18,38,44,62,1.2894736842105263,-0.47368421052631576,38.1,57.1,-19.0,-0.5,38.1,1.0026315789473685
2021-22,Norwich City,2021,4,train,22,-61,38,23,84,0.5789473684210527,-1.605263157894737,32.3,75.5,-43.2,-1.1368421052631579,32.3,0.85
2021-22,Southampton,2021,4,train,40,-24,38,43,67,1.0526315789473684,-0.631578947368421,44.8,60.0,-15.200000000000003,-0.4000000000000001,44.8,1.1789473684210525
2021-22,Tottenham,2021,4,train,71,29,38,69,40,1.868421052631579,0.7631578947368421,61.2,39.3,21.900000000000006,0.5763157894736843,61.2,1.6105263157894738
2021-22,Watford,2021,4,train,23,-43,38,34,77,0.6052631578947368,-1.131578947368421,40.0,64.5,-24.5,-0.6447368421052632,40.0,1.0526315789473684
2021-22,West Ham,2021,4,train,56,9,38,60,51,1.4736842105263157,0.23684210526315788,51.4,53.5,-2.1000000000000014,-0.05526315789473688,51.4,1.3526315789473684
2021-22,Wolves,2021,4,train,51,-5,38,38,43,1.3421052631578947,-0.13157894736842105,37.5,56.9,-19.4,-0.5105263157894736,37.5,0.9868421052631579
2022-23,Arsenal,2022,5,train,84,45,38,88,43,2.210526315789474,1.1842105263157894,71.6,42.0,29.599999999999994,0.7789473684210525,71.6,1.8842105263157893
2022-23,Aston Villa,2022,5,train,61,5,38,51,46,1.605263157894737,0.13157894736842105,50.3,52.5,-2.200000000000003,-0.05789473684210534,50.3,1.3236842105263158
2022-23,Bournemouth,2022,5,train,39,-34,38,37,71,1.0263157894736843,-0.8947368421052632,38.5,63.8,-25.299999999999997,-0.6657894736842105,38.5,1.013157894736842
2022-23,Brentford,2022,5,train,59,12,38,58,46,1.5526315789473684,0.3157894736842105,56.3,48.8,7.5,0.19736842105263158,56.3,1.4815789473684209
2022-23,Brighton,2022,5,train,62,19,38,72,53,1.631578947368421,0.5,73.3,50.2,23.099999999999994,0.6078947368421052,73.3,1.9289473684210525
2022-23,Chelsea,2022,5,train,44,-9,38,38,47,1.1578947368421053,-0.23684210526315788,49.5,52.5,-3.0,-0.07894736842105263,49.5,1.3026315789473684
2022-23,Crystal Palace,2022,5,train,45,-9,38,40,49,1.1842105263157894,-0.23684210526315788,39.3,48.1,-8.800000000000004,-0.23157894736842116,39.3,1.0342105263157895
2022-23,Everton,2022,5,train,36,-23,38,34,57,0.9473684210526315,-0.6052631578947368,45.2,65.5,-20.299999999999997,-0.5342105263157894,45.2,1.1894736842105265
2022-23,Fulham,2022,5,train,52,2,38,55,53,1.368421052631579,0.05263157894736842,46.2,63.6,-17.4,-0.45789473684210524,46.2,1.2157894736842105
2022-23,Leeds United,2022,5,train,31,-30,38,48,78,0.8157894736842105,-0.7894736842105263,47.3,67.1,-19.799999999999997,-0.5210526315789473,47.3,1.2447368421052631
2022-23,Leicester City,2022,5,train,34,-17,38,51,68,0.8947368421052632,-0.4473684210526316,50.5,63.3,-12.799999999999997,-0.33684210526315783,50.5,1.3289473684210527
